                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 2.2796,                0.98904,                 2.7187,                 0.8443,                0.72664,                0.78164,                0.41045,                 3.1564,                 1.5938,                 2.5929,               0.003664,               0.003664,               0.003664
                     66,                 2.2926,                0.98363,                  2.721,                0.85087,                0.72537,                0.78589,                0.41317,                 3.1534,                 1.5911,                 2.5915,               0.003565,               0.003565,               0.003565
                     67,                 2.2863,                 0.9831,                 2.7127,                0.84516,                0.72346,                0.78401,                0.41302,                 3.1487,                 1.5935,                 2.5895,               0.003466,               0.003466,               0.003466
                     68,                 2.2839,                0.98978,                 2.7076,                0.84613,                0.72537,                0.78485,                0.41318,                 3.1456,                 1.5887,                 2.5876,               0.003367,               0.003367,               0.003367
                     69,                 2.2741,                0.97612,                 2.7028,                0.84833,                0.72536,                0.78578,                0.41261,                 3.1437,                 1.5862,                 2.5867,               0.003268,               0.003268,               0.003268
                     70,                 2.2788,                0.96762,                 2.7145,                0.84859,                0.72687,                0.78794,                0.41495,                 3.1436,                 1.5787,                  2.588,               0.003169,               0.003169,               0.003169
                     71,                 2.2819,                0.97139,                 2.6992,                0.85245,                0.72356,                0.78994,                0.41632,                 3.1411,                 1.5761,                 2.5853,                0.00307,                0.00307,                0.00307
                     72,                 2.2479,                0.95199,                 2.6885,                0.84719,                0.72791,                0.78988,                0.41635,                 3.1405,                 1.5753,                 2.5838,               0.002971,               0.002971,               0.002971
                     73,                  2.258,                0.96051,                 2.6839,                0.84064,                0.73172,                0.79061,                0.41583,                 3.1377,                 1.5729,                 2.5828,               0.002872,               0.002872,               0.002872
                     74,                 2.2494,                0.95461,                  2.691,                0.84967,                0.73045,                0.79155,                0.41623,                 3.1359,                 1.5691,                 2.5827,               0.002773,               0.002773,               0.002773
                     75,                 2.2515,                 0.9495,                 2.6924,                0.85032,                0.73316,                0.79121,                0.41756,                 3.1339,                   1.57,                 2.5818,               0.002674,               0.002674,               0.002674
                     76,                 2.2408,                0.94222,                 2.6821,                0.84948,                0.73363,                0.79284,                0.41867,                 3.1315,                 1.5681,                 2.5803,               0.002575,               0.002575,               0.002575
                     77,                 2.2398,                0.93741,                 2.6789,                0.84571,                0.73172,                0.79188,                0.41852,                  3.127,                 1.5706,                 2.5761,               0.002476,               0.002476,               0.002476
                     78,                 2.2224,                0.92352,                 2.6756,                 0.8529,                0.72981,                0.79268,                0.41912,                 3.1246,                 1.5687,                 2.5744,               0.002377,               0.002377,               0.002377
                     79,                 2.2323,                0.93573,                 2.6799,                0.86077,                0.72711,                0.79525,                0.42036,                 3.1241,                 1.5626,                 2.5737,               0.002278,               0.002278,               0.002278
                     80,                 2.2135,                0.92654,                  2.669,                0.85049,                0.73617,                0.79547,                0.41943,                 3.1224,                 1.5588,                 2.5724,               0.002179,               0.002179,               0.002179
                     81,                 2.2214,                0.92976,                 2.6713,                0.85475,                0.73427,                0.79579,                0.42124,                 3.1203,                 1.5559,                 2.5713,                0.00208,                0.00208,                0.00208
                     82,                 2.2273,                0.92843,                 2.6624,                0.85482,                0.72982,                0.79633,                0.42177,                 3.1183,                  1.556,                 2.5688,               0.001981,               0.001981,               0.001981
                     83,                  2.207,                0.91318,                 2.6547,                0.85769,                0.72918,                0.79687,                0.42316,                 3.1176,                 1.5523,                 2.5675,               0.001882,               0.001882,               0.001882
                     84,                 2.2031,                0.91729,                 2.6454,                0.85608,                0.72854,                0.79645,                0.42425,                 3.1163,                   1.55,                 2.5661,               0.001783,               0.001783,               0.001783
                     85,                 2.1849,                0.89509,                 2.6412,                0.85474,                0.73045,                 0.7983,                 0.4247,                 3.1147,                 1.5459,                 2.5643,               0.001684,               0.001684,               0.001684
                     86,                 2.1803,                0.89707,                  2.637,                0.84505,                0.74197,                0.79955,                0.42624,                 3.1122,                 1.5409,                 2.5629,               0.001585,               0.001585,               0.001585
                     87,                 2.1775,                0.89228,                 2.6397,                 0.8362,                0.74189,                0.79847,                0.42657,                 3.1111,                 1.5394,                 2.5621,               0.001486,               0.001486,               0.001486
                     88,                 2.1705,                0.89562,                 2.6301,                0.84678,                0.74126,                0.79976,                0.42615,                 3.1087,                 1.5393,                 2.5604,               0.001387,               0.001387,               0.001387
                     89,                 2.1662,                0.89724,                  2.626,                0.84497,                0.74253,                0.80042,                0.42659,                 3.1084,                 1.5396,                 2.5598,               0.001288,               0.001288,               0.001288
                     90,                 2.1629,                0.88051,                 2.6253,                0.84404,                0.74253,                0.80072,                0.42832,                 3.1107,                 1.5344,                 2.5592,               0.001189,               0.001189,               0.001189
                     91,                 2.0875,                0.75822,                  2.734,                0.84288,                 0.7438,                0.80139,                0.42754,                 3.1086,                 1.5312,                 2.5577,                0.00109,                0.00109,                0.00109
                     92,                 2.0863,                0.75486,                 2.7296,                0.84631,                0.74317,                0.80083,                0.42814,                 3.1067,                  1.528,                 2.5568,               0.000991,               0.000991,               0.000991
                     93,                 2.0666,                0.74403,                 2.7272,                0.84744,                0.73872,                0.80042,                0.42852,                 3.1047,                  1.528,                  2.556,               0.000892,               0.000892,               0.000892
                     94,                 2.0592,                0.73625,                 2.7232,                0.83505,                0.74889,                0.79986,                0.42936,                 3.1039,                 1.5273,                 2.5549,               0.000793,               0.000793,               0.000793
                     95,                  2.047,                0.73468,                 2.7161,                0.83247,                0.75184,                0.79915,                0.42942,                 3.1013,                 1.5269,                 2.5539,               0.000694,               0.000694,               0.000694
                     96,                 2.0364,                0.72772,                 2.7135,                0.84536,                0.74126,                0.79804,                0.42863,                 3.1008,                 1.5239,                 2.5538,               0.000595,               0.000595,               0.000595
                     97,                 2.0263,                0.72463,                 2.7073,                0.83939,                0.74634,                0.79964,                0.42931,                  3.097,                 1.5234,                 2.5528,               0.000496,               0.000496,               0.000496
                     98,                 2.0166,                   0.72,                 2.6889,                0.84375,                0.74507,                0.79921,                0.43009,                 3.0956,                 1.5208,                  2.554,               0.000397,               0.000397,               0.000397
                     99,                 2.0109,                0.72168,                 2.6804,                0.83649,                0.74571,                0.79902,                0.42967,                 3.0935,                 1.5222,                 2.5539,               0.000298,               0.000298,               0.000298
                    100,                 1.9991,                 0.7115,                 2.6702,                 0.8463,                0.74207,                0.79996,                 0.4303,                 3.0919,                 1.5226,                 2.5543,               0.000199,               0.000199,               0.000199
